Section	Faculty Code	Faculty Name	Room	Day	Time
A	ASKP	Al-Sakib Khan Pathan	403	sat	08:30 - 09:50
B	MNK	Muhammad Nomani Kabir	403	sat	09:51 - 11:10
C	ASKP	Al-Sakib Khan Pathan	407	sat	11:11 - 12:30
D	AIMM	Abdullah Ibne Masud Mahi	403	sat	12:31 - 13:50
E	AIMM	Abdullah Ibne Masud Mahi	401	sat	13:51 - 15:10
F	MdMH	Md. Muhyminul Haque	402	sun	08:30 - 09:50
G	ABF	Abu Bakar Fahad	325	sun	09:51 - 11:10
H	AKMMI	A.K.M. Muzahidul Islam	403	sun	11:11 - 12:30
I	AIMM	Abdullah Ibne Masud Mahi	401	sun	12:31 - 13:50
J	ME	Mohammad Mamun Elahi	403	sun	13:51 - 15:10
K	ME	Mohammad Mamun Elahi	408	sun	15:11 - 16:30
